Gene Name,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
CCNA_03127,22.53438173,22.31160531,22.60002813,22.16649902,22.44085903,22.34648884
CCNA_03183,19.71463123,19.54444001,20.00935846,19.7094911,19.8925695,19.72567247
CCNA_03575,21.11400663,20.96536156,21.74550364,21.13502033,21.50470069,21.34435009
mnmG,18.30264785,17.89971094,17.37814242,17.70008745,17.85080948,17.68947936
frr,22.87667057,22.40706856,22.69370474,22.33475447,22.70937751,22.56966558
clpX,23.3295084,23.01833535,22.48993418,22.40898686,22.59762068,22.24214136
purA,22.51236529,22.38832216,22.6658338,22.60858061,22.71221463,22.52867063
leuA,21.37374242,21.21032651,21.15992552,19.83622607,20.0524513,19.60351406
purD,22.01307864,21.86075358,22.70004934,22.17955683,22.36613008,22.32097018
trpS,23.10266328,23.05095795,23.12795529,22.42856771,22.75535868,22.69812133
CCNA_00311,21.56945699,21.54613708,22.03741424,21.76218898,22.03022393,22.00679312
CCNA_00367,23.43338983,23.19340023,23.29810061,22.98915747,23.17779422,22.93191117
CCNA_00938,23.19275334,23.09200477,23.21310363,22.72841547,22.95863413,22.84467818
CCNA_00348,19.7789081,19.56842748,19.0355831,19.11393034,19.24810825,18.95795789
CCNA_00726,20.11349801,19.6499017,18.92836223,18.76380239,18.92413399,18.72477362
CCNA_00109,22.74845494,22.53114821,22.81117632,22.68483079,22.87453341,22.66214332
CCNA_00224,19.67319519,19.47026564,19.4758759,19.67698663,19.75228263,19.62376363
CCNA_01382,20.42624018,20.35702787,20.39299235,20.27787309,20.70691415,20.7571914
CCNA_00886,23.53670728,23.46874037,23.5535618,22.27415176,22.55438181,22.54267011
CCNA_00989,20.0873178,19.83164125,19.98440177,19.75041913,19.92759569,19.80961114
ldtD,20.66960136,20.36335197,20.56532525,20.23175088,20.47704278,20.45813823
CCNA_01077,18.17621212,17.83015617,17.84561256,17.47706255,17.58512393,17.49880247
CCNA_01636,21.9466022,21.80120313,21.97396777,21.95886419,22.11813251,22.08102306
astB,20.58196552,20.46592904,21.18519485,21.01835234,21.24968291,21.23052009
CCNA_02062,20.18046768,19.83784348,19.67457505,20.14718505,20.33243435,20.41946647
CCNA_01090,20.90271662,20.78108752,20.93488296,21.02776294,21.15400221,20.93034176
cckA,19.74519176,19.54122899,18.70752091,19.26860596,19.32913061,19.15568295
glpK,19.87838924,19.76034636,20.27298509,19.96620689,20.25176439,20.1385868
CCNA_01301,17.87735604,17.74399286,18.02874784,17.93704042,18.0996971,18.040996
CCNA_01925,20.83591778,20.65883558,20.25914097,20.00442897,20.15214618,19.98133872
metZ,21.19958369,21.14070997,21.04366815,20.707167,20.91823434,20.82493078
trpE,21.24643908,21.12993699,21.16287809,20.95744784,21.12899366,21.23391687
CCNA_01639,19.9756129,19.87961615,20.25222653,19.36352308,19.40361957,19.40334912
CCNA_02846,22.77227349,22.55234264,22.69019155,22.47731459,22.62920896,22.56486027
CCNA_01750,22.90159391,22.83657281,23.5869204,23.29305622,23.57554017,23.51665129
CCNA_02347,21.87500235,21.88143963,22.43354265,22.07505995,22.30772001,22.1972755
CCNA_03248,24.80705377,24.49795755,24.72821823,24.47134776,24.66595304,24.43637961
CCNA_02725,19.54130462,19.36924375,19.68527578,18.78315172,19.11482004,18.93341404
CCNA_02252,22.55077027,22.3628171,21.78859408,22.1324809,22.27133308,21.87695154
argD,22.78909181,22.86831014,23.3987176,22.77978587,22.98328869,23.33347204
CCNA_02473,18.2233607,18.06249944,17.50152623,17.59717964,17.80246588,17.52649924
CCNA_03689,25.68142459,25.55271201,25.3600125,25.14043694,25.43303956,25.04481065
CCNA_03695,21.78986792,21.63174192,21.24661304,21.08828877,21.27662424,21.15542355
dxs,21.78412679,21.49130509,20.82322106,21.66105608,21.8196786,21.63648479
cgtA,21.54467584,21.20770787,21.37506914,21.28359257,21.45878907,21.26710899
aroB,20.42920648,20.25430435,20.99161595,20.47328164,20.78524491,20.6877379
ilvD,19.48850312,19.55367429,19.72284088,19.14472296,19.35554467,19.66540879
CCNA_00233,21.44009864,21.21258425,20.97910696,21.0698588,21.20758872,20.96162208
CCNA_00075,23.17263077,23.08631378,22.82349319,22.77880385,22.93457706,22.73745944
CCNA_01164,20.30407498,20.1562263,19.42732512,20.0146798,20.17023316,19.76739565
CCNA_01807,20.85718828,20.64508844,20.73446486,20.35713529,20.58600411,20.51528019
CCNA_00708,18.8753474,18.63094252,18.03922966,18.25294256,18.37759183,18.24428021
CCNA_01563,23.53243298,23.44871826,23.20799079,21.91903497,21.95066553,21.79288877
CCNA_01285,19.72640445,19.58765301,20.35024428,20.18131728,20.40582289,20.35981818
ptsP,18.3250946,18.05255744,16.57037458,18.00058325,18.07389051,17.73443179
CCNA_01752,20.76247288,20.64711056,20.46243837,20.25072403,20.24597508,20.35649066
sppA,21.93221764,21.85688444,21.26356035,20.84084245,20.89489472,20.54141807
purF,21.6516281,21.59841604,21.51161755,21.24585905,21.42603538,21.23508632
CCNA_01800,22.05218593,21.89814669,21.24939358,21.77084292,21.89311782,21.44414945
CCNA_01805,22.5438031,22.48308459,22.34754352,22.30237453,22.50850181,22.30935866
CCNA_02198,20.85231919,20.73710868,21.59659744,21.20460696,21.40826132,21.40041251
nuoF,23.19720049,22.83992036,22.98914014,22.52747796,22.80968571,22.49189223
CCNA_02085,21.45733679,21.32674108,21.31401449,21.1352709,21.26367496,21.13270054
secD,22.57383114,22.30426998,21.60729419,21.75001015,21.81052927,21.94603099
cysC,19.70008745,19.44837043,18.63566145,18.73925321,18.87081019,18.45639453
CCNA_01583,22.24667102,21.67210762,21.95095024,21.7381401,22.18377227,21.84145685
CCNA_02174,23.16633045,22.89276588,22.65689529,22.44627158,22.59413869,22.2950761
CCNA_02325,22.87573361,22.73696422,23.28714872,22.73731502,22.92582243,22.85502204
CCNA_02701,20.04846559,19.8402739,19.50792623,19.14845176,19.1382618,19.13149528
CCNA_02545,22.09883014,21.9576958,22.10389606,21.71766304,21.9033788,21.89965932
CCNA_03510,21.45000299,21.3572427,22.01007594,21.11591235,21.36543605,21.55412415
tolB,22.34275073,22.10040312,22.28486363,22.30988597,22.47558403,22.23461865
argJ,20.94413724,20.77723926,20.49492198,19.51487583,19.78190395,19.58005242
rfaE,20.93912291,20.63245213,21.12047584,20.93553054,21.1911725,21.05768242
hslU,21.57934356,21.20669484,20.28477892,21.20979127,21.36757046,21.11603931
parB,21.74628304,21.55234264,21.73884105,20.86355413,21.0582111,21.10629456
pyrG,21.71280237,21.50013581,20.9638105,21.05510234,21.2578758,21.18912236
tsf,24.73809886,24.67384432,25.47330022,24.69582979,24.9812429,24.98524471
hemC,20.06605239,19.94478068,20.71481567,20.28398813,20.44939855,20.66188246
dnaN,23.48394564,23.23461865,23.51400414,23.08212825,23.23416546,22.98771853
pheS,21.51883754,21.40332831,21.06335558,20.68277518,20.82609534,20.81425074
CCNA_00078,22.7694311,22.66507476,22.69784569,22.66618065,22.82463949,22.79871385
cenK,18.99288856,18.75616537,18.12151328,18.36862582,18.45771753,18.18374198
pbpX,18.05943953,17.87489732,16.78315172,17.04686821,17.2157984,17.09383018
CCNA_01183,22.48753193,22.36567633,22.44990227,21.93808204,21.98995434,21.972461
CCNA_00413,20.02025294,19.58895248,18.2728029,19.59972401,19.75141657,19.46704428
CCNA_01012,19.35610374,19.33540344,19.81133706,20.22975764,20.43756109,20.26453423
CCNA_01189,18.0453224,18.00503237,18.02041573,18.04905085,18.2903699,18.52894242
CCNA_00601,21.37464472,21.1535075,21.33532711,20.88069258,21.15696691,21.05576434
CCNA_01274,19.77325191,19.70654323,19.58077013,19.65553771,19.79102931,19.61952506
CCNA_01575,23.00908504,22.80437763,23.03997593,22.90740049,23.04495236,22.9196897
CCNA_01955,20.0918434,19.7929523,19.90504025,20.09519611,20.31406983,20.09390753
CCNA_01369,22.49250358,22.54229225,22.25922719,21.59121917,21.93574633,21.95073671
glpX,21.89692806,21.82539672,21.86340288,21.53112441,21.70087485,21.64063859
CCNA_01517,20.03684435,19.80379058,20.27378194,19.97267134,20.24214136,19.84099608
flbA,19.72685343,19.52259686,18.8950131,19.44756354,19.63110243,19.3825396
popA,19.64473647,19.25257304,18.94369382,19.99589962,20.28816315,20.10852956
CCNA_01677,21.15863188,21.19706548,21.40758727,21.52339158,21.90584089,22.00237004
pdhA,22.71376742,22.47963522,21.75380924,22.35807487,22.42716141,22.19589481
CCNA_02540,23.1206973,22.95075451,23.24265021,22.92186999,23.16738752,23.07334466
topA,18.33559971,18.62709922,17.61819907,17.06781246,17.17309151,17.09856674
CCNA_02401,21.26585079,21.04039408,21.16060269,21.01065649,21.25580313,21.02978598
CCNA_02915,22.88399533,22.76490398,23.11411786,21.75560318,21.78156783,21.71787218
CCNA_03206,20.71422875,20.52974318,21.20943433,20.72841547,20.97994427,20.82034104
CCNA_03299,21.17840226,20.98537501,21.11127069,20.9732321,21.07711561,21.01991373
CCNA_02180,21.41823146,21.18694844,20.96352831,21.04186499,21.20442786,20.9643042
CCNA_03249,20.81143114,20.50474917,20.71355769,20.54075617,20.75889984,20.49208789
CCNA_02457,21.86883762,21.67089825,21.81726006,21.42229272,21.65600057,21.4586389
ispH,19.87966102,19.6004683,20.40197528,20.09815548,20.26853743,20.16962167
CCNA_03314,21.7728574,21.66096907,22.06256531,21.59436652,21.85220487,21.86793325
CCNA_03315,19.09529914,18.93922336,19.62720612,19.37326451,19.53681635,19.39053845
CCNA_02935,18.34438261,18.09589146,17.81522066,17.7129031,17.76694294,17.2831969
CCNA_03527,21.13652308,21.08517937,21.80349105,21.5602022,21.80286026,21.95981944
glmM,21.24916207,20.82244324,20.36687712,20.9633872,21.00689582,20.40976383
xseA,19.49097228,19.31258608,19.21451834,19.35438284,19.47169506,19.31606051
rplB,23.49277249,23.30229084,22.54075617,23.18880553,23.25277514,22.81651809
rpoA,23.82308497,23.48934624,22.98273182,23.35110746,23.41673775,22.82559081
pgk,22.38226517,22.20099077,23.05599597,22.52470718,22.75517528,22.68416732
era,21.23853069,21.10187824,21.16146407,20.75450262,21.07581077,20.99244604
CCNA_00573,17.32825417,17.0807759,17.38355243,17.14449893,17.26901707,17.05864711
CCNA_00465,19.50724879,19.40434745,19.38391097,19.76492017,19.99036992,20.02025294
sucB,22.25951456,22.20084115,21.43369546,22.43974365,22.59450321,22.11060183
CCNA_00302,21.7172865,21.5117623,21.83109226,21.66535674,21.81718198,21.73289281
prfA,21.1436398,20.94377965,21.10450406,20.78244798,21.03402515,20.90969096
CCNA_00487,18.2708428,18.20127202,18.60055904,18.17182183,18.06455332,18.05138952
rsaE,20.94827882,20.67495428,19.849909,19.91931145,20.02404666,19.84311444
dnaX,18.82556752,18.51899117,17.42881814,18.20352007,18.35319853,18.05064581
CCNA_01412,21.76356738,21.38505981,21.19946387,21.43400102,21.61710511,21.29910738
CCNA_00773,20.39613229,20.26762339,19.94506656,20.0042918,20.11680082,19.93632162
CCNA_00968,20.1011088,19.9975544,20.08705877,19.76605327,19.91106716,19.8386592
ychF,21.86026103,21.66730735,22.29605696,21.99510603,22.23882221,22.24106493
iolD,19.87222397,19.75645859,19.4984519,19.27091122,19.38652352,19.30518894
CCNA_00578,17.65892272,17.39523287,17.70198324,17.18959294,17.39707294,17.18485598
lpxB,19.21195482,19.04027367,19.14105937,19.10837641,19.22135583,19.11105414
ibpA,22.68245373,22.47938853,22.55311646,21.60417494,21.78504531,21.87056941
flgE,20.40426428,20.22693896,20.78939036,20.04899765,20.29569272,20.05602906
perA,20.68867718,20.50319684,21.03402515,21.31583946,21.57791558,21.37845997
