Gene Name,HNOX_1,HNOX_2,HNOX_3,WT_1,WT_2,WT_3,WT_Mean,HNOX_Mean,Log2_FC,P_Value,MinusLog10_P
Pden_3084,41697000.0,38383000.0,37203000.0,43956000.0,50160000.0,50543000.0,48219666.666666664,39094333.333333336,-0.30266217175784016,0.022424767313533933,1.6492720546371595
Pden_2046,6410100.0,7420300.0,7212800.0,8452400.0,8222100.0,8058300.0,8244266.666666667,7014400.0,-0.23307146721760877,0.020064155017387703,1.6975791254398878
Pden_4366,9725000.0,10693000.0,9901900.0,10653000.0,10980000.0,11784000.0,11139000.0,10106633.333333334,-0.14031722647547182,0.08294444893211537,1.0812126738809786
Pden_2160,38291000.0,35673000.0,29273000.0,20231000.0,20401000.0,20401000.0,20344333.333333332,34412333.333333336,0.7582987122563984,0.00629281164559651,2.201155267219985
Pden_4393,15588000.0,13523000.0,15692000.0,12998000.0,12854000.0,12257000.0,12703000.0,14934333.333333334,0.23346358651345303,0.03963440820685002,1.40192762200239
purS,28750000.0,38242000.0,35668000.0,48981000.0,47902000.0,45887000.0,47590000.0,34220000.0,-0.4758186946710787,0.010879465323653853,1.963392447716203
rpsO,145380000.0,235870000.0,210990000.0,245560000.0,289730000.0,267650000.0,267646666.66666666,197413333.33333334,-0.43911025213091165,0.07827043840458316,1.1064022336241173
pyrH,24207000.0,25830000.0,25349000.0,26332000.0,29282000.0,29580000.0,28398000.0,25128666.666666668,-0.17645520442011803,0.04589931792310902,1.3381937681540448
pckA,33370000.0,33437000.0,35582000.0,39582000.0,37416000.0,36842000.0,37946666.666666664,34129666.666666664,-0.152946836970022,0.026042981079657277,1.5843093045760535
Pden_1258,28550000.0,47103000.0,51386000.0,76115000.0,79055000.0,74362000.0,76510666.66666667,42346333.333333336,-0.8534238383868955,0.008746466823787234,2.058167346842026
Pden_3839,6189700.0,7313100.0,6216600.0,8269700.0,7640900.0,7115600.0,7675400.0,6573133.333333333,-0.2236606880140486,0.09138879740001891,1.0391070375871385
rpmC,0.0,0.0,128590000.0,151470000.0,198690000.0,170310000.0,173490000.0,42863333.333333336,-2.017036555056847,0.044012729176562244,1.3564217005219925
Pden_2001,10970000.0,9635900.0,10211000.0,0.0,0.0,0.0,0.0,10272300.0,,1.1892449690858282e-05,4.924728677118812
Pden_2862,36365000.0,38357000.0,43124000.0,55024000.0,48991000.0,53210000.0,52408333.333333336,39282000.0,-0.4159278449946968,0.008120033411778716,2.0904421837488156
rpiA,22145000.0,25136000.0,23554000.0,26898000.0,26742000.0,28182000.0,27274000.0,23611666.666666668,-0.20802642110720854,0.019970600122992874,1.6996088842435577
Pden_0531,80243000.0,68956000.0,79628000.0,62340000.0,65569000.0,66815000.0,64908000.0,76275666.66666667,0.23282658101646214,0.04344418453212754,1.362068350277228
